פתרון,הגדרה,אורך,מחבר,מספר
אגממנונ,"להוציא דג מים זה לא חוכמה, מי שעושה ההיפך – מלך! (7)",7,אודי הרשקוביץ,287
אגממנונ,להוציא דג  מתוך ים קטן? מי שעושה ההפך יצא מלך! (7),7,אודי הרשקוביץ,570
אגנוסטי,מתחת לעמוד השדרה יש עיתון רוסי? לא בטוח (7),7,דוד זהבי,27
אגניו,סגן הנשיא וחלק מעצמותיו (5),5,אודי הרשקוביץ,89
אגס,הפרי השלישי נבלע על ידי האלוף (3),3,דוד זהבי,522
אגסימ,"אם בכלל אין באגים, אז אפשר לאכול אותם (5)",5,אודי הרשקוביץ,591
אגפא,תבעת מצלמה אחרי (4),4,דוד זהבי,324
אגרול,הם צברו למאכל (5),5,אודי הרשקוביץ,81
אגרול,משכו את תשומת לבם באיסור מאכל (5),5,אודי הרשקוביץ,430
אגרונ,ראש העיר אסף ונכשל (5),5,אודי הרשקוביץ,148
אגרונומ,"הוא חוקר ויש בימה, אל תהיו עצובים (7)",7,אודי הרשקוביץ,134
אגרופ,גם בתוך זה הם חיו? איזו מכה! (5),5,אודי הרשקוביץ,593
אגרופנ,"שמרו בצד, אחרת עלולים לחטוף ממנו מכה (6)",6,אודי הרשקוביץ,85
אגרופקמוצ,"אספו מסלול השקעה וסוף הקץ זה איום (5, 4)",9,דוד זהבי,549
אד,"עם 19 מאוזן. הרתיח מים וסדר מספיק אבל זה לא לעניין (2, 6)",2,דוד זהבי,247
אדהוק,"הבל פיו של הפיראט נוצר לצורך מסויים בלבד (2, 3)",5,אודי הרשקוביץ,613
אדו,שוב בדק את התקופה היפנית (3),3,אודי הרשקוביץ,466
אדוארד,"מלך של מקום אחד, שתיים? מקום שלוש! (6)",6,אודי הרשקוביץ,113
אדוארד,גורדון ויעל היו שמונה מלכים (6),6,דוד זהבי,222
אדומ,צבע ארץ (4),4,דוד זהבי,639
אדומי,דואג בפרס? פעמיים (5),5,אודי הרשקוביץ,36
אדומימ,באיזה מעלה יש שני מצבים? (6),6,דוד זהבי,376
אדומעתיק,"איזה יין לא נוזל ולא מקורי (4, 4)",8,דוד זהבי,282
אדוניהו,בן דוד שבאו ראשי המאפיה שלה אצלו (7),7,אודי הרשקוביץ,485
אדונשוקו,"אשוחח על חלק מרגלו של השיר (4, 4)",8,אודי הרשקוביץ,350
אדוקימ,מקפידים שקודם כל יהיה משחק (6),6,אודי הרשקוביץ,105
אדורה,לפי היישוב מתחילים את האוקטבה מלמטה (5),5,דוד זהבי,427
אדי,קודם תפסיק לחתום (3),3,דוד זהבי,64
אדיב,הוא דיבר בצורה יפה ומכובדת (4),4,אודי הרשקוביץ,287
אדידס,נעלים ארבע בחצי בירה (5),5,אודי הרשקוביץ,158
אדיפלי,מרפי עם צד אחד זה מסובך (6),6,דוד זהבי,51
אדירימ,יעלה הבל? אין עליהם! (6),6,דוד זהבי,598
אדירמילר,"קפלן בראובן אולי? מצחיק! (4, 4)",8,דוד זהבי,449
אדמ,ראה/י 15 מאונך,3,דוד זהבי,498
אדמדמ,באיזה צבע הזה אחרי ההתחלה? (5),5,דוד זהבי,184
אדמונדלוי,"לפי השופט, הכרטיס בלע חוף בסיציליה (6, 3)",9,דוד זהבי,161
אדמותמדינה,"אסור לבנות עליהן סתם כך, ונגמר המשפט שלה אחרי הראשון (5, 5)",10,דוד זהבי,414
אדמותמדינה,"דן הוא מתמיד אבל לשטח אין בעלים (5, 5)",10,דוד זהבי,435
אדמימות,תסמין שבגללו מישהו לא ישרוד (7),7,דוד זהבי,516
אדמימות,בגלל החטא הקדמון נגזר שיהיה תסמין קל למחלה (7),7,דוד זהבי,549
אדמלאדמ,"הבל כנראה נפצע קשה לפני זאב (3, 4)",7,אודי הרשקוביץ,619
אדמלהבלדמה,"תחילת הגנטיקה בתהילים קמ""ד (3, 4, 3)",10,דוד זהבי,284
אדמלוינ,"זמר אמריקאי עם מה שיש בפנים בבסיס (3, 4)",7,דוד זהבי,437
אדממה,התבשיל דורש קודם כל שקט (5),5,דוד זהבי,69
אדמתמ,"אבא של כולם הוא גם אחד הבנים, זה השטח שלהם (5)",5,דוד זהבי,443
אדר,פוחלץ חדש (3),3,אודי הרשקוביץ,566
אדר,עץ חדש (3),3,אודי הרשקוביץ,613
אדרבא,סוף שבט? להיפך (5),5,דוד זהבי,31
אדרבא,"כמעט חצי שנה עברה, להפך (5)",5,דוד זהבי,245
אדרבה,החודש שמוסיפים והחמישי? להפך! (5),5,דוד זהבי,569
אדריאטי,יש לי עץ שלא ממהר לים (7),7,אודי הרשקוביץ,70
אדריכל,הבל דבר על אחרים כי הוא המתכנן (6),6,דוד זהבי,247
אדריכל,לחדש הייתה אפשרות וזה המקצוע שלו (6),6,דוד זהבי,492
אדריכלימ,"לא נשארים לי יותר מהחודש, אז יעזרו לי לתכנן (8)",8,דוד זהבי,288
אהב,מצאה בו משהו – וגם הוא לא סבל (3),3,אודי הרשקוביץ,67
אהבל,"אלה? להיפך, הוא אידיוט (4)",4,דוד זהבי,553
אהבתידע,"את רואה, בתי, דעך הרצון ללמוד (4, 3)",7,דוד זהבי,300
אהבתנעוריה,"הנבערות היא החבר הראשון שלה (4, 6)",10,אודי הרשקוביץ,581
אהודאולמרט,"עוד לפני שיש לו גל, קודם כל חוזרים לראש הממשלה (4, 6)",10,אודי הרשקוביץ,405
אהודבנאי,"הזמר נאה, ודאי (4, 4)",8,דוד זהבי,251
אהלהדוד,"עם 1 מאונך. לא תודה, מודה שזו יצירה קלאסית (3, 4, 3)",7,דוד זהבי,451
אהלנוסהלנ,"ברכה, קודם כל האם עלינו לברוח לפני הישן? (4, 5)",9,אודי הרשקוביץ,623
אהרונאפרפלד,"בבקשה, הולידו ירק בגז, מבקש הסופר (5, 6) (מ)",11,דוד זהבי,355
אהרונברק,"היה שופט, כהן ומצביא (5, 3) (מ)",8,אודי הרשקוביץ,468
אהרוני,הטבח מצא הר וניסה לטפס (6),6,דוד זהבי,333
אהרונפרנקו,"קודם חצי מותח, מטבע וראש השירות (5, 5)",10,דוד זהבי,41
אהרנברק,"הכהן לא הגיע ראשון והיה שופט (4, 3)",7,דוד זהבי,298
או,עם 25 מאונך. קול הקיבוץ (4),2,אודי הרשקוביץ,301
או,עם 25 מאונך. עם שיכול להתפרש כזלזול באיום (4),2,דוד זהבי,322
או,עם 25 מאונך. אגלה את האמת: הוא בושל (4),2,אודי הרשקוביץ,370
אואזיס,רק אחרי כל זה תהיה הסכמה באמצע המדבר (6),6,אודי הרשקוביץ,287
אואזיס,רק לאחר מכן תהיה הסכמה ללהקה (6),6,אודי הרשקוביץ,470
אובדיעצות,"זה סימן שבפנים הענפים שלו לא יודעים מה לעשות (5, 4)",9,אודי הרשקוביץ,462
אובליסק,עמוד עגלגל בקצה האפרסק (7),7,אודי הרשקוביץ,568
אובמאוחר,ראה/י 4 מאוזן,8,דוד זהבי,427
אובססיבי,אולי דג בעל מרקם חוטי אינו מרפה (8),8,דוד זהבי,533
אובססיביות,כנראה שלא אנצח ספרות בלי יכולת להפסיק (10),10,אודי הרשקוביץ,67
אובר,"אפשר ליסוע ככה, ואפשר גם בחוץ (4)",4,אודי הרשקוביץ,179
אוברחוכמ,"הם פה או ברחו כמו חכמולוג? (4, 4)",8,דוד זהבי,476
אוברחוכמ,"חמור כאוב מתיימר להבין במה שהוא לא (4, 4)",8,דוד זהבי,498
אוברטורה,בפתיחה יש כלי משחק גדול מאוד (8),8,אודי הרשקוביץ,223
אוגוסטה,"עם 10 מאוזן. בית החולים הוא השמיני, הסופר במקום החמישי (7, 8)",7,אודי הרשקוביץ,577
אוגנדה,יחידה צבאית ספגה כשלון באפריקה (6),6,דוד זהבי,447
אודות,בקשר לתו בתוך סימן (5),5,דוד זהבי,559
אודיו,אולי מספיק לו לשמוע אותו (5),5,דוד זהבי,380
אודיחמודי,"אולי מספיק רותח, וזהו – יש עליו שיר (4, 5)",9,דוד זהבי,108
אודימ,בשרון יש הרבה כמוני (5),5,אודי הרשקוביץ,466
אודיסאה,יש אפשרות שמספיקה מידה אחת למסע (7),7,אודי הרשקוביץ,299
אודיסאוס,הגיבור המיתולוגי צריך לבחור בין מספיק כלום לכלום (8),8,אודי הרשקוביץ,234
אודריהפבורנ,"האם דרורה ביפן, או שזו השחקנית? (5, 6)",11,אודי הרשקוביץ,301
אוהבאדמ,"זה שבא אחרי באבן יקרה הוא ידידותי (4, 3)",7,דוד זהבי,541
אוהבימאותכ,"אתה מכור? אולי תתן הרבה מים ואולי תפר (6, 4)",10,דוד זהבי,18
אוהבימללאתנאי,"בראון שוחה בלי חכמי? שום דבר לא יפריד אותם (6, 3, 4)",13,אודי הרשקוביץ,450
אוהיו,"אולי הם כבר לא בארה""ב (5)",5,דוד זהבי,137
אוהיו,יתכן שהתקיימו באמריקה (5),5,דוד זהבי,476
אוהלו,מוסד אקדמי עם אפשרות לשלום (5),5,אודי הרשקוביץ,105
אוהלו,מאוד רצה אותו על שפת הכנרת (5),5,אודי הרשקוביץ,460
אוהלימ,אפשר לישון שם? לא היום! (6) (מ),6,אודי הרשקוביץ,426
אוהלסיירימ,"רצה שיורם שלי יעמיד מקום מגורים ארעי (4, 6) (מ)",10,דוד זהבי,557
אוהנרי,"אהרוני כתב מחזות? (2, 4)",6,אודי הרשקוביץ,266
אוהנרי,"רני הוא סופר (2, 4)",6,אודי הרשקוביץ,358
אוונגליונ,"יש אפשרות ונשמח את המדינה, איזו בשורה! (9)",9,אודי הרשקוביץ,183
אוזהשיורד,ראה/י 27 מאונך,9,דוד זהבי,180
אוזנ,ראה 2 מאונך,4,דוד זהבי,22
אוזנהמנ,"בעל המקצוע התעטף בבגד? זה הפוך בפורים (4, 3)",7,אודי הרשקוביץ,201
אוזנהפיל,"צמח גדול שגרם לנזק גופני בלתי הפיך (4, 4)",8,דוד זהבי,220
אוטו,"גלידה זבל, יכול גם לייצר מכונה עם 5 מאונך (4)",4,דוד זהבי,224
אוטו,"עם 9 מאוזן. יש אפשרות שעם מאכל ננצח מאכל גרמני ידוע (4, 3, 6)",4,אודי הרשקוביץ,619
אוטוגרפ,זכה ברכב עם חתימה (7),7,דוד זהבי,214
אוטודידקט,הרכב לא רחב במיוחד? זה טוב שהוא לא צריך ללכת לבית ספר (9),9,אודי הרשקוביץ,277
אוטומשומש,"צריך לקנות בזהירות? להיפך, נקרא פעמיים בתחילת הנייר (4, 5)",9,דוד זהבי,41
אוטונומי,עם רכב שני כבר אפשר ליסוע לבד (8),8,אודי הרשקוביץ,268
אוטוסטראדה,אולי הוא גרם למכשיר חשמלי להעלם בכביש (10) (מ),10,דוד זהבי,127
אוטוסטרדה,ייתכן שהרגיזה עוף בכביש (9),9,אודי הרשקוביץ,154
אוטוריטה,"כך הזמרת נוסעת, שילוב של ביטחון עצמי וסמכות (8)",8,אודי הרשקוביץ,436
אויואבוילכ,"אולי ליואב יש פרשה, אבל אתה בצרות (3, 5, 2)",10,דוד זהבי,147
אויטהפרונ,"בארגנטינה התבלבלה מעט במטוס (5, 4)",9,אודי הרשקוביץ,89
אויימתנ,אבוי לנו אם הוא ינסה להרגיע אותנו אחרי שכיוונו עליכן נשק (7),7,אודי הרשקוביץ,546
אוילנו,"קדימה, טמבל, איזו צרה נפלה עלינו! (3, 3)",6,דוד זהבי,64
אוילר,איזה אושר! הוא החליף שביל בשביל להגיע למתמטיקאי (5),5,אודי הרשקוביץ,283
אוירהרימ,"בתחילת השיר הוא לא הניף משקל כבד (4, 4)",8,דוד זהבי,586
אוכלאדמ,"רוצח באפריקה ואולי עומר השלם (4, 3)",7,דוד זהבי,355
אוכלוסינ,הם נשרפו מדינה? איזה מרשם זה? (8),8,אודי הרשקוביץ,291
אוכלוסינ,ראה/י 22 מאונך.,8,אודי הרשקוביץ,349
אוכלותראש,"חופרות אולי כמו מרטין שלום (6, 3)",9,דוד זהבי,363
אוכלמרורימ,"סובל מאד וכלם מקוללים מבחוץ (4, 6)",10,דוד זהבי,182
אוכלקש,"לא הולך לו, חי כמו בהמה (ע""פ אודי ה.) (4, 2)",6,דוד זהבי,2
אוכמניות,פירות אולי כמו ניירות ערך (8),8,דוד זהבי,620
אולארציק,"לפי המוזיקאי, קיימת אפשרות שהבהמה מתקדמת לאט (8)",8,דוד זהבי,310
אולגובס,אולי משחק דג בשביל להתחיל קריירה (7),7,דוד זהבי,492
אולדרינ,ראה/י 8 מאוזן,7,אודי הרשקוביץ,556
אולהבבו,"יתכן שהגיבור של מאיר אריאל נדקר (4, 3)",7,דוד זהבי,43
אוליברסטונ,"ייתכן שבמאי קולנוע שאין בו כלום הוא עדיין במאי קולנוע? (6, 4)",10,אודי הרשקוביץ,74
אולימפוס,בקיצו של רוני מלמטה למקום הכי גבוה (8),8,דוד זהבי ואודי הרשקוביץ,125
אולימפיאדה,יש מצב שהמפקד ירתיח מים יותר מדי פעם בכמה שנים? (10),10,אודי הרשקוביץ,58
אולימפיאדה,באירוע גדול יתכן שמקום יציאת הבלי זה הבלה (10) (מ),10,אודי הרשקוביץ,152
אולמות,"עם 5 מאוזן. יש אפשרות לחדול כשמחפשים את בעלי החליל בשמחות (6, 7)",6,אודי הרשקוביץ,17
אולמרט,זה שבבית סוהר קבל ציון נמוך בבית ספר (6),6,דוד זהבי,155
אולקוס,"כואבת לי הבטן, תקראו לקוסמת (6)",6,אודי הרשקוביץ,136
אולתר,קראו לתרום לזה שלא הכינו אותו מראש (5),5,דוד זהבי,394
אומאמי,הטעם שמחבר את הפרס (6)(מ),6,דוד זהבי,237
אומאמי,המוסד פרס טעם (6) (מ),6,אודי הרשקוביץ,613
אומדנ,יש הערכה כי מתקיים שיח בינלאומי (5),5,דוד זהבי,422
אומדנ,יש הערכה שדברו על זה בארגון (5),5,דוד זהבי,565
אומדנימ,על מה מתווכחים במוסד? יש לך ניחושים? (7),7,דוד זהבי ואודי הרשקוביץ,375
אומדנימ,מה שעושים למשל במועצת הבטחון זה לא ממש מדויק (7),7,אודי הרשקוביץ,438
אומדנימ,יש הערכות שייתכנו מריבות (7),7,אודי הרשקוביץ,464
אומהה,עם חמישית עיר אמריקאית (5),5,אודי הרשקוביץ,579
אומהטורמנ,"ממה שכתוב בעיתון בישראל היא עשתה קריירה בהוליווד (4, 5)",9,אודי הרשקוביץ,266
אומות,"עם 9 מאוזן. ארגון האפשרויות: שאלו יחוסלו לעומת שאלו, ממש לפני האחרונה (5, 7)",5,אודי הרשקוביץ,548
אומיקרונ,"זן קטן, אבל נכנס בכוח (8)",8,אודי הרשקוביץ,448
אומלט,אין טבעת לעשירי המאכל הזה (5),5,אודי הרשקוביץ,117
אומנויותהבמה,"ספרו עד חמש בנשיא התאטרון לדוגמא (8, 4)",12,אודי הרשקוביץ,50
אומצ,"אולי יתום, אבל לא פחד (4)",4,אודי הרשקוביץ,540
אומרהכל,"מסגיר אולי טעם גורף (4, 3)",7,דוד זהבי,24
אומרודברימ,ראה/י 2 מאונך,10,דוד זהבי,180
אומרותדרשני,"טבעת מגלה: רופא שנותן חוות דעת נוספת, והן תמוהות (6, 5)",11,דוד זהבי,394
אומריהנ,"הנאורים הם סתם חנפנים (5, 2)",7,אודי הרשקוביץ,332
אומרימ,"עם 5 מאונך. לפני שאני חצי בן אדם בשיר, אולי יש בו נביאה (6, 2)",6,דוד זהבי,231
אומרימישנה,"עם 26 מאונך. אולי הנביאה נחה לפני דרך למשל בשיר (6, 4, 3)",10,דוד זהבי,169
אונאה,זיוף יכול להיות יפה (5),5,דוד זהבי,516
אונטאריו,אולי נשק אבא של חנן ו... זה בקנדה (8)(מ),8,דוד זהבי,618
אונטריב,חתיכת בשר בשביל שיהיה כח טוב לפני העימות (7),7,אודי הרשקוביץ,268
אונטריב,הצורר בחוץ שמר חתיכת בשר (7),7,אודי הרשקוביץ,442
אונליינ,רק מטבע באנגלית ברשת (7),7,דוד זהבי,408
אונסקו,ייתכן ועלו למעלה בארגון (6),6,אודי הרשקוביץ,138
אונקולוג,רופא שאולי טהרו בשבילו שלושה (8),8,דוד זהבי,441
אונקיה,שוב ירכשו משהו בחמישית משקל (6),6,אודי הרשקוביץ,613
אונקיות,מידות שאולי רחצו אותן (7),7,דוד זהבי,449
אונקלוס,לפי הפרשן שוב גרשו אותנו לראשונה (7),7,דוד זהבי,494
אונרא,כוחו של מפקד הסוכנות (5),5,אודי הרשקוביץ,179
