פתרון,הגדרה,אורך,מחבר,מספר
לחלוחי,"רטוב? להיפך יקרה או קורה (ע""פ דוד זהבי) (6)",6,אודי הרשקוביץ,1
בינוני,זה מה שאמרתי לגאולה כשנפרדנו: זה לא משהו מיוחד (6),6,אודי הרשקוביץ,1
הגיעלפרקו,"בא להרביץ לו כי הוא יכול להתחתן (4, 5)",9,אודי הרשקוביץ,1
להנהנ,כיף לו לחזור ולהסכים (5),5,אודי הרשקוביץ,1
נזהרו,הרוזן – שמו לב (5),5,אודי הרשקוביץ,1
משלמ,הוא נותן מהכסף שלו או מכספם? (4),4,אודי הרשקוביץ,1
הרימואב,"העלו חדש בירדן (3, 4)",7,אודי הרשקוביץ,1
חשמלית,קרון שממהר עם תוכן (6),6,אודי הרשקוביץ,1
ללאמתומ,"מת אומלל אבל נקי (3, 4)",7,אודי הרשקוביץ,1
ראש,לתפוס משפחה (3),3,דוד זהבי,10
ברוטו,כולל רומאי מקוצץ (5),5,דוד זהבי,10
יוכללו,"ינצח אותו – והם יהיו בפנים (4, 2)",6,דוד זהבי,10
רובהצלפימ,"בצבא לא נשאר הרבה מקום לשחקנים בבמה (4, 5)",9,דוד זהבי,10
נחומגולדמנ,"מנהיג ציוני דגול נמנם? ח""ו (4, 6)",10,דוד זהבי,10
פרט,מזהה תרגיל (3),3,דוד זהבי,10
תפיסתנלסונ,"ההבנה של רפי מאחור (5, 5)",10,דוד זהבי,10
מפרשיהשנימ,"בשיר היא נוסעת רק עם רש""י ורמב""ן, אולי (6, 4)",10,דוד זהבי,10
ידורגלבדבר,"אף אחד לא יקבל ציון עם שלמה במעורבות (2, 4, 4)",10,דוד זהבי,10
נוערהנרות,"בכיכר, חמור כן סופר (4, 5)",9,דוד זהבי,10
שוממימ,אין בהם כלום – יבש לגמרי (6),6,דוד זהבי,10
הרתעה,"הקיצור, מת – אז תזהרו (5)",5,דוד זהבי,10
קמו,כבדו את סוף הציפור (3),3,דוד זהבי,10
צאו,נפרד מהם ללא נימוס (3),3,דוד זהבי,10
יובלשרפ,"השחקנית טוענת שסגל הצית (4, 3)",7,דוד זהבי,10
אפינצר,"קודם כלב שר (3, 3)",6,דוד זהבי,10
כדוררשת,"שביעיות מתמודדות כמו בזמן האחרונות (4, 3)",7,דוד זהבי,10
מטרו,רטוב וירד לו מתחת לאדמה (4),4,דוד זהבי,10
מתהלל,מפתח יכול להודיע על פטירת הזקן (5),5,דוד זהבי,10
ויסקי,משקה חריף ניצח משקה חריף (5),5,דוד זהבי,10
שיעורלשונ,"פחות מרוחב הלסת בבית הספר (5, 4)",9,דוד זהבי,10
ורודות,צבועות ולא נחמדות (6),6,דוד זהבי,10
הצמדתי,"קרבתי לאו דווקא, אולי הוא בדיאטה (6)",6,דוד זהבי,10
משמרהגבול,"מתרחק מתו ולא מסתכל על חיל (4, 5)",9,דוד זהבי,10
נאמנה,יש לו בננה ישרה (5),5,דוד זהבי,10
מתנגב,מצופה ממנהל שלא יהיה רטוב (5),5,דוד זהבי,10
דיקנ,המרצה לא מאחר (4),4,דוד זהבי,10
מצבשתימ,"הדף הזה התהפך במים על הידים (3, 4)",7,דוד זהבי,10
תורמות,נותנות זמן לסוף (6),6,דוד זהבי,10
עוגנהרמ,"השיר של רכטר נגוע (4, 3)",7,דוד זהבי,10
רכשמניות,"גדי! בעדינות! הוא עכשיו בעלים (3, 5)",8,דוד זהבי,100
ספרותי,כמעט נבון הסגנון הזה (6),6,דוד זהבי,100
חולהעגבת,"עלול להדביק אגם, עין וקיבוץ (4, 4)",8,דוד זהבי,100
רותמאבוהאב,"מצחיקה שוב זוג שמגיע מיונה (4, 6)(מ)",10,דוד זהבי,100
בודקכלקצהחוט,"עושה עבודה יסודית בבחינת ח' וט' (4, 2, 3, 3)",12,דוד זהבי,100
חזרתהמהדי,"המתחזה ירד למה שהמוסלמים מצפים לו (4, 5)",9,דוד זהבי,100
בלדימרי,"שותים לי דברים! (4, 3) (ח)",7,דוד זהבי,100
תקליט,"פעם היו שומעים אותו בסוף, תופסים אותו בקלות (5)",5,דוד זהבי,100
נושאימבאחריות,"בעלי תפקידים לא קופצים ישר לחופה (6, 7)",13,דוד זהבי,100
ניהולסכונימ,"מנסיון, יכולה לעזור בקבלת החלטות מחושבת (5, 6)",11,דוד זהבי,100
מעציב,"מבאס, שוב עשה מספיק! (5)",5,דוד זהבי,100
אספתבעלימניות,"הפורום הקובע ממליץ לחפץ להתייחד עם מצביעות ליכוד (4, 5, 5)",13,דוד זהבי,100
קולונוסקופיה,צליל האלה והחיות שלה בבדיקה (12),12,דוד זהבי,100
תלמידיחכמימ,"נבחר בלי דיחוי במושב הרבנים (6, 5)",11,דוד זהבי,100
פצינו,שלמנו אל (5),5,דוד זהבי,100
יכלהאתהונו,"הנאתו יכולה לגרום לו שיתרושש (4, 2, 4)",10,דוד זהבי,100
קיבלרגילה,"בגללה יקיר יצא לחופשה (4, 5) (מ) (עם אודי ה.)",9,דוד זהבי,100
חיימיבינ,"""יחי ימין!"" הכריז העיתונאי (4, 4)",8,דוד זהבי,100
בוריסבקר,"בחפירה שלי אין פרות, אמר הטניסאי (5, 3)",8,דוד זהבי,100
נשפסיומ,"יוסף התבלבל והכניס אויר מבחוץ אחרי בית הספר (3, 4)",7,דוד זהבי,100
קורטוב,אתלט במקלחת במידה קטנה (6),6,דוד זהבי,100
מכזיב,לא עומד בציפיות מהצפון (5),5,דוד זהבי,100
חיבורוחיסור,"אלצו את הנשמה שלי להסתלק בפעולות פשוטות (5, 6) (מ)",11,דוד זהבי,100
ניסננתיב,"לומדים שם שוב על מבנה קטנטן ולא מוצלח (4, 4)",8,דוד זהבי,100
התחשמל,הרב שעשה מצווה גמר לא טוב (6),6,דוד זהבי,100
יסתלקומנהעולמ,"נעלמו מהסקילות ולכן ימותו (6, 2, 5)",13,דוד זהבי,100
לוביסטימ,מנסים להשפיע על שודד ושניים בתוכו (8),8,דוד זהבי,100
גמילי,שלושה פרומיל של ברוך (5),5,דוד זהבי,100
מעליב,אני מתחת לשניים וזה משפיל (5),5,דוד זהבי,100
כותבלמגירה,"בכורה העולם של קווין, לא רוצה לפרסם (4, 6) (מ)",10,דוד זהבי,100
הסתאבות,"שקט, בסוף השלושה גורמים לשחיתות (7)",7,דוד זהבי,100
נתוחקצורקיבה,"בשביל לרזות החם חזר -  קי' למשל (4, 4, 4) (ח)",12,דוד זהבי,100
חרבפיפיות,"בין ההריסות יש צורך, וזה כמו בומרנג (3, 6)",9,דוד זהבי,100
מיליאביטל,"לשחקנית יש חלק קטן מהר געש (4, 5)",9,דוד זהבי,100
ויקטוריהבקהמ,"נצחון תלונותיה, קמה הזמרת (8, 4) (ח)",12,דוד זהבי,100
בנותחיל,"הן יבנו תחילה את ביתן, כל הכבוד להן! (4, 3)",7,דוד זהבי,100
בוניוקלייד,"שודדים שוב מלצר, לפי מדיניות המושב (4, 6)",10,דוד זהבי,100
ארסנל,קודם קצין לומד את הקבוצה (5),5,דוד זהבי,100
ריקני,באמצע החריש הבית שלי נטול תוכן (5),5,דוד זהבי,100
פעמימשיח,"עוד מעט הכל יהיה טוב, רותם ועוד רותם למשל (4, 4)",8,דוד זהבי,100
ספרייתהקונגרס,"מוסד אמריקאי מתיז משקה לדברי השופט (6, 7)",13,דוד זהבי,100
זמינימ,אפשר להשיג למשל חיטה או רימון (6),6,דוד זהבי,100
מחברתוימ,"מלחין במים את ידידה שלו (4, 4)",8,דוד זהבי,100
רקבונפושהבה,"היא מושחתת מאוד, בירה, תן דחיפה בצד הראש (5, 4, 2)",11,דוד זהבי,100
ברד,מלמד בשעות המנוחה? איזו מכה (3),3,אודי הרשקוביץ,101
חירות,סופו של הליך דמוקרטי הוא חופש (5),5,אודי הרשקוביץ,101
שיפדנו,חיסלנו את זה שיוציא אותנו לחופשי (6) (מ),6,אודי הרשקוביץ,101
והיאשעמדה,"בפסח הם היו דעא""ש (4, 5)",9,אודי הרשקוביץ,101
לאהגולדברג,"חשבו רק על שני דברים: סופרת ומשוררת (3, 7)",10,אודי הרשקוביץ,101
דבר,מישהו אמר משהו על מחלה? (3),3,אודי הרשקוביץ,101
הלכהלעולמה,"הציפוי פה, והשאלה? היא כבר לא פה (4, 6)",10,אודי הרשקוביץ,101
פרתמשהרבנו,"בארץ בקש חיה בטעם חיה (3, 3, 4)",10,אודי הרשקוביץ,101
אליהוהנביא,"שוב אינו אומר שלום לאביר, אבל יש לו כוס (5, 5)",10,אודי הרשקוביץ,101
נשימקטנות,"ספר טוב בבית עטוף שאיפות (4, 5)",9,אודי הרשקוביץ,101
סנטהפה,"זה המקום בו הרגיזה בארצות הברית (4, 2)",6,אודי הרשקוביץ,101
לשלשת,את והוא עבדתם במטבח? זו הצואה! (5),5,אודי הרשקוביץ,101
קצר,מחמאות בתקשורת (3),3,אודי הרשקוביץ,101
מצה,מצאה תחליף אהבה באוכל (3),3,אודי הרשקוביץ,101
שמחהרבה,"נשמע כמו התחלה של שיר לאסלה (4, 3)",7,אודי הרשקוביץ,101
נדמלבו,"מת לחזור, וגם עצר את השופט (3, 3)",6,אודי הרשקוביץ,101
פירמידה,בור! זורק שכמותך! צורה לך! (7),7,אודי הרשקוביץ,101
פרעה,"אדוני המלך, לא טוב לנו במקום הזה (4)",4,אודי הרשקוביץ,101
גואלד,מאיזה קמפיין צריך לדאוג? (5) (ח),5,אודי הרשקוביץ,101
תאריכ,באיזה יום תוסיף עוד? (5),5,אודי הרשקוביץ,101
מגדלפעמונ,"שוב מזרז מטס למודל של הכנסייה (4, 5)",9,אודי הרשקוביץ,101
שקיחול,"אמצעי תשלום עתידי להגנה (3, 3)",6,אודי הרשקוביץ,101
היהבעד,"הבנק יכול לספר שהוא תמך (3, 3) (ע""פ דוד זהבי)",6,אודי הרשקוביץ,101
הסכמאוסלו,"בשורה התחתונה, הוא נגעל מהתהליך הזה (4, 5)",9,אודי הרשקוביץ,101
בייגל,ישמח בעצם היותי עגול (אבל לא בפסח) (5),5,אודי הרשקוביץ,101
טיטאנ,אולי שאלת בני ישראל בעבודת הפרך: יש אל בשמיים? (5),5,אודי הרשקוביץ,101
בוקה,"עם 23 מאוזן. איזה בלאגן! שים פרחים עם הרבה מים לפני סוף המעקה (4, 7)",4,אודי הרשקוביץ,101
ומבולקה,ראה/י 25 מאוזן,7,אודי הרשקוביץ,101
תפאורה,מדווח לכפולה בהצגה (6),6,אודי הרשקוביץ,101
מהנשתנה,"הם בפסח (2, 5)",7,אודי הרשקוביץ,101
מתג,לא רק שנים נפטרו בפי הבהמה (3),3,דוד זהבי,102
נבואה,אפשר לדעת כבר עכשיו שנגיע (5),5,דוד זהבי,102
קלימרו,אזמין טוסט מרובע בקצה עם ביצה מלמעלה(6),6,דוד זהבי,102
עכובביצוע,"שתי ערים ומיטה כי יש ערעור (4, 5) (ח)",9,דוד זהבי,102
בעליחשיבות,"מוחמד הרגיש עשר בין הרבנים, אין לזלזל בהם (4, 6)",10,דוד זהבי,102
אור,בני מחזיר ראשון (3),3,דוד זהבי,102
למודינהיגה,"כדי לקבל רשיון בלמה, ותקבל במשפט 13 (5, 5) (ח)",10,דוד זהבי,102
מלכהלבאדומ,"אדם, לך הלום על קלף (4, 2, 4)",10,דוד זהבי,102
תופעתדופלר,"זמן פלפל בתוך המחבר, וזה משנה את הקול (5, 5)",10,דוד זהבי,102
קריתענבימ,"תקשרי בחצי אי בקיבוץ (4, 5)",9,דוד זהבי,102
מובחרת,"עומדת בפני עצמה בסוף, עם סטייל (6)",6,דוד זהבי,102
הפריע,"תגרמי לעין להתרבות, אפילו שלא שיתף פעולה (5)",5,דוד זהבי,102
תלי,צייד משתמש בתיל (3),3,דוד זהבי,102
כלא,"שש, למשל, ללא יוצא מן הכלל (3)",3,דוד זהבי,102
קונילמל,גיבור הסרטים שוב מתלונן בקול (7),7,דוד זהבי,102
לאקבוע,"זמני פה, קודם מה שהוא נשען עליו בפנים (2, 4)",6,דוד זהבי,102
ינונמגל,"הח""כ שב ושתה את העורך (4, 3)",7,דוד זהבי,102
מרזל,"לא נבחר, לא טעים ולא חי (4)",4,דוד זהבי,102
יתבשמ,"העיר היא ביתם, אז ישתה קצת (5)",5,דוד זהבי,102
התרצו,1936 זה על דעתם (5),5,דוד זהבי,102
האישהירוק,"יש סיפור על זה שמאפשר לעבור (4, 5)",9,דוד זהבי,102
רשפלוי,"דבר שפל ויצרי ומצחיק (3, 3)",6,דוד זהבי,102
בילבאו,מוביל באומץ בספרד (6),6,דוד זהבי,102
עמדתפתיחה,"מפתח העתיד בתחילת המו""מ (4, 5) (עם אודי ה.)",9,דוד זהבי,102
דמותה,המראה שלה מערבב שני נוזלים (5),5,דוד זהבי,102
בינגו,משחק היגון (5),5,דוד זהבי,102
פיתה,בפסח כנראה היה לו קצת יותר קל (4),4,דוד זהבי,102
מכותרצח,"שלמה מוקף, זה לא יגמר טוב (4, 3)",7,דוד זהבי,102
מפרצימ,מה יש בשיער מהשרים לשעבר עמיר ויצחק? (6),6,דוד זהבי,102
מאורעות,במטבעות יש קרניים ב-1929 למשל (7),7,דוד זהבי,102
צרכ,"הוא לא אוהב אותך, אז מה הוא קנה? (3)",3,אודי הרשקוביץ,103
בורמה,זו הדרך אל המדינה (5),5,אודי הרשקוביץ,103
זקוקלכ,"הוא צריך שתעזור להזריק סם למישהו נקי (4, 2)",6,אודי הרשקוביץ,103
נהנתימאוד,"אדוני, המתן! היה לי כיף (5, 4)",9,אודי הרשקוביץ,103
מאירהרציונ,"הלוחם שרטט את הקו לדוגמא בבית החולים (4, 2, 4)",10,אודי הרשקוביץ,103
נצח,"שמועה על מי שחולק את הירושה עם איש אצ""ל לתמיד (3)",3,אודי הרשקוביץ,103
טענולהגנתמ,"מה שאולי עשו השריונרים בבית המשפט (4, 6)",10,אודי הרשקוביץ,103
אלכסנדרוני,"אינו ישר, אבל נשבע בפנים שהשתתפה במלחמת העצמאות (10)",10,אודי הרשקוביץ,103
סטניסלבסקי,"הנשק שלי מפורסם, זה ספורט ושיטת משחק (10)",10,אודי הרשקוביץ,103
לובהאליאב,"חבר כנסת, זו מדינת הישראלי החדש (4, 5)",9,אודי הרשקוביץ,103
בוננזה,סידרה בתוכו רכב צבאי מסוים (6),6,אודי הרשקוביץ,103
השבתה,"אתה צריך להחזיר את השתיה, אחרת שום דבר לא יעבוד (5)",5,אודי הרשקוביץ,103
אגד,חבר שיש לו תותחים (3),3,אודי הרשקוביץ,103
גבת,לאחרונה הקיבוץ נותן תמיכה (3),3,אודי הרשקוביץ,103
זאבהרצל,ראה/י 1 מאוזן,7,אודי הרשקוביץ,103
בנימינ,"עם 5 מאוזן. מהצד השני של החוזה כתוב: לבעיה באחת האזניים יש שתיים (6, 3, 4)",6,אודי הרשקוביץ,103
וורמאכט,"הוא גבוה, אבל רק במידה מסויימת בצבא (7)",7,אודי הרשקוביץ,103
אחרי,בסוף זה מה שאומר המפקד (4),4,אודי הרשקוביץ,103
ריתוק,איך מענישים חייל מצרי תוקפן? (5),5,אודי הרשקוביץ,103
הסזונ,"בתקופת המחתרות צריך לשמור על שקט, זה אזור אנגלי (5)",5,אודי הרשקוביץ,103
סיירתמטכל,"בצבא מכרתי סטי""ל (5, 4)",9,אודי הרשקוביץ,103
ואנחאל,"המאמן בול היה בין הראשונים שלא התאמץ (3, 3)",6,אודי הרשקוביץ,103
דומינו,משחק אותה גם זכר וגם נקבה (6),6,אודי הרשקוביץ,103
דברהמסינג,"השחקנית אמרה מהמדינה השלישית (4, 5)",9,אודי הרשקוביץ,103
וילנה,ניהול בשיטה אירופאית (5),5,אודי הרשקוביץ,103
נחלוב,נוציא ממנו את העובדה שהוא לקח הפסקה עוד לפני שתיים (5),5,אודי הרשקוביץ,103
סיאמ,שומעים הסכמה בינלאומית ללאום ולמדינה (4),4,אודי הרשקוביץ,103
יגאלבשנ,"מה בגין שאל על השר? (4, 3)",7,אודי הרשקוביץ,103
בריגדה,"ברור שפה זה בצבא (6) (ע""פ דוד זהבי)",6,אודי הרשקוביץ,103
נתיבהלה,"בסוף ישנתי לפני הפחד בקיבוץ (4, 3)",7,אודי הרשקוביץ,103
נקי,"אין 26 מאונך, איזה רווח! (3)",3,דוד זהבי,104
מתהדק,"נהיה יותר צר, אבל הצר כבר איננו (5)",5,דוד זהבי,104
היסטרי,יהודה חדש ולא נרגע (6),6,דוד זהבי,104
ישובסתירה,"בס""ה יש יותר, כבר לא קשה אחרי  (4, 5)",9,דוד זהבי,104
נפחאתנשמתו,"כלא, תקרא לסימן, הוא מת! (3, 2, 5)",10,דוד זהבי,104
ישר,בין דרך לזווית (3),3,דוד זהבי,104
ניסימסרוסי,"יתנו עיר בצרפת, תו ששר פעם (5, 5)(מ)",10,דוד זהבי,104
אחדלמיליונ,"תפסיק חלק קטן בכח, מה כבר הסיכוי? (3, 7)",10,דוד זהבי,104
טרחישאקראי,"מחפש במהירות שטח בים, בסבירות מסויימת (5, 5)",10,דוד זהבי,104
ממנווהלאה,"שבת במקום דני, הוא לא בעניין בכלל (4, 5)",9,דוד זהבי,104
וילרבנ,עיר צרפתית ואוניברסיטה עם מלמד לא מוצלח (6)(ח),6,דוד זהבי,104
מסיבי,"גדול וחזק החוט, ומי חוץ מזה? (5)",5,דוד זהבי,104
אבק,לכלוך שב ומדרג (3),3,דוד זהבי,104
חלפ,האוטו התקלקל? הנה סכין! (3),3,דוד זהבי,104
הומוגני,"האדם השלישי, בסוף אני לא מגוון (7)",7,דוד זהבי,104
פיקנטי,"מעניין, דניאלה, אל תלכי ישר (6)",6,דוד זהבי,104
סנהדרינ,"דנה, נפלא בארץ! (7)",7,דוד זהבי,104
אריח,איך אחוש חלק מהקיר? (4),4,דוד זהבי,104
אלברט,אצל הנסיך אפשר להשיג רכב טוב (5),5,דוד זהבי,104
קטרוס,אפשר לנגן על הידית של אחד החברים (5),5,דוד זהבי,104
לשונסתרימ,"אף אחד לא מחפש את פן, זה קוד (4, 5)",9,דוד זהבי,104
מרחבימ,"מה הוא עשה עם קרם שיזוף, ואיפה? במועצה אזורית (6)",6,דוד זהבי,104
יתומחר,תקבע עלותו של המסכן בקצות החדר (6),6,דוד זהבי,104
הומורשחור,"החמור ושור כדי להתמודד עם קשיים (5, 4)",9,דוד זהבי,104
יהלומ,שר לשעבר קשה (5),5,דוד זהבי,104
ליהוק,אקח קפטן כדי למלא תפקיד (5),5,דוד זהבי,104
רמאי,אי אפשר להאמין למה שיגיד שוב (4),4,דוד זהבי,104
נחקליגר,"לי יש כלל: בבעל מקצוע זה עיתונאי ותיק (2, 5)",7,דוד זהבי,104
הליפקס,בקנדה יש שוב דרך להרוג פה בפנים (6),6,דוד זהבי,104
נפוליונ,"בניון, סיימון, צרפתי (7)",7,דוד זהבי,104
ישר,קישרה בין שתי נקודות (3),3,אודי הרשקוביץ,105
מדויק,לובש בהמה וזה מתאים עליו בול (5),5,אודי הרשקוביץ,105
קושמרו,ראה/י 2 מאונך,6,אודי הרשקוביץ,105
מצברוחטוב,"זה מגיע מישראלי חצוף ויפה ושמח (3, 3, 3)",9,אודי הרשקוביץ,105
קולהמוזיקה,"שוב שפכו דם, ערבבו וקבלו ציון מושלם ברדיו (3, 7)",10,אודי הרשקוביץ,105
דני,"עם 5 מאונך.  בסוף הצמד סידרו, ודאגו שלא יפריעו בטלוויזיה (3, 6)",3,אודי הרשקוביץ,105
הירוגליפימ,מה שהוא כתב זה יופי למגירה (10),10,אודי הרשקוביץ,105
ללאכחלושרק,"מי שעייף, שיעשה עיסוי בלבד! ללא תוספות (3, 3, 4)",10,אודי הרשקוביץ,105
שיתוקמוחינ,"שוב באים לעודד רץ בעל זקן עם מחלה (5, 5)",10,אודי הרשקוביץ,105
ציפורהנפש,"עטפו את ההסכמה בבוץ כי זה חשוב להם (5, 4)",9,אודי הרשקוביץ,105
רמאורנ,"את מי סופר מנהיג בררן? (2, 4)",6,אודי הרשקוביץ,105
בילוי,איך נפרדים מהניצחון בסרט או בהצגה? (5),5,אודי הרשקוביץ,105
ראל,אומרים שקצין בכיר הוא מסוכן (3),3,אודי הרשקוביץ,105
טופ,הכי טוב זה לקטוף למעלה (3),3,אודי הרשקוביץ,105
קרמשניט,מנה אחרונה במידה זה לא הכי חשוב (7),7,אודי הרשקוביץ,105
אדוקימ,מקפידים שקודם כל יהיה משחק (6),6,אודי הרשקוביץ,105
שפונדרה,יפה הבטיחה חתיכת בשר (7),7,אודי הרשקוביץ,105
ליעל,"מאחורה, למעלה, צריך לעשות יותר טוב (4)",4,אודי הרשקוביץ,105
הדרימ,נסע לאילת בשביל למצוא עצים (5),5,אודי הרשקוביץ,105
קשמיר,יש לבקש מירדף בכל רחבי המדינה (5),5,אודי הרשקוביץ,105
כשלונחרוצ,"זה לא יצליח כשאנחנו נחליט כמו עוף (5, 4)",9,אודי הרשקוביץ,105
ישתדרג,מקבל מכתבים ברמת גן? הגיע הזמן שיתקדם (6),6,אודי הרשקוביץ,105
ליבידו,יצר מרכזי פעמיים (6),6,אודי הרשקוביץ,105
ברלוסקוני,המנהיג למד בלי זה ששילם עבורי (9),9,אודי הרשקוביץ,105
שילהב,"הזמר גרם להתרגשות בקהל (2, 3)",5,אודי הרשקוביץ,105
אוהלו,מוסד אקדמי עם אפשרות לשלום (5),5,אודי הרשקוביץ,105
חירמ,יחי רמבו המלך (4),4,אודי הרשקוביץ,105
קטנעליו,"אין לו בעיה למרות כפות רגליו הזעירות (3, 4)",7,אודי הרשקוביץ,105
שטנצלר,יושב ראש רשע וצדיק לרב (6),6,אודי הרשקוביץ,105
אפיריונ,בכח הבור שלי מושב (7) (מ),7,אודי הרשקוביץ,105
איל,כח ארד (3),3,דוד זהבי,106
לתדלק,מה לעשות כדי שתהיה אנרגיה? ציפו את הכתובת (5),5,דוד זהבי,106
ורמונט,"בארה""ב פיתחו הורמון טבעי (6)",6,דוד זהבי,106
נותנשירות,"מוכר, למשל, בנות – ותביא זמר (4, 5)",9,דוד זהבי,106
מעצורראשונ,"אויב ושרפה בבית, חייל צריך להתמודד אתו (5, 5)",10,דוד זהבי,106
לטפ,הפגין קרבה לפרי שחזר (3),3,דוד זהבי,106
כריתמנהרות,"ערמת התבואה תספור לפני הסוף מה שהחמאס עושה (4, 6)(ח)",10,דוד זהבי,106
נוגעימבדבר,"זה עניינם שוב, מתחת לפני השטח – מי לא יכול להתחתן? (6, 4)",10,דוד זהבי,106
ניתוחקיסרי,"תחקיר ניסוי של פרוצדורה רפואית (5, 5)(מ)",10,דוד זהבי,106
רצונחופשי,"אף אחד לא מכריח, הוא ממהר ועוצר ובאמצע מפשיל (4, 5)",9,דוד זהבי,106
קדמוני,משפחה שבגללה אני לא ראשון (6),6,דוד זהבי,106
יטליא,איך יתקן ענבים בשביעית? (5),5,דוד זהבי,106
בדו,המציאו לא לבד (3),3,דוד זהבי,106
וסח,שוויץ ומדבר (3)(ח),3,דוד זהבי,106
ועלשמאל,ראה/י 1 מאוזן,7,דוד זהבי,106
עלימינ,"עם 5 מאוזן. הסוג שלו על אפשרות, בעליל, כל הזמן (2, 4, 3, 4)",6,דוד זהבי,106
מודימלכ,"כל הכבוד, בר-און, מעריכים אותך (5, 2)",7,דוד זהבי,106
נפיצ,"זה מסוכן, תשאירי פחות מתשעים (4)",4,דוד זהבי,106
וינטו,גיבור אינדיאני עם מטבע באיסור (5),5,דוד זהבי,106
קנטקי,"הבית של המשחק בארה""ב (5)(ח)",5,דוד זהבי,106
עופרוינטר,"מפקד ובהמה ומטבע בתוך ראובן (4, 5)",9,דוד זהבי,106
צנתרימ,קפץ בחברה ישראלית של צינורות (6),6,דוד זהבי,106
מהתשתו,"תעייף, חוץ מזה הם כבר אינם, מה שואלים אורחים? (2, 4)",6,דוד זהבי,106
תקונלחוקה,"נתוק הלקוח כבר קרה 27 פעמים בארה""ב (4, 5)",9,דוד זהבי,106
דואני,רוני מדבר פעמיים (5),5,דוד זהבי,106
מרוני,"חנה שלי, הוא נוצרי! (5)",5,דוד זהבי,106
סחבת,כדאי שתחזיר התנהלות מתישה (4),4,דוד זהבי,106
רונאלדו,"פישר בין מיני לראשי, איזה שחקן (7)(מ)",7,דוד זהבי,106
ידידות,"קרבה של לפני חובה, למשל, ובור (6)",6,דוד זהבי,106
נחליאלי,"אלון שלי לא עובד, הוא עף (7)",7,דוד זהבי,106
טרי,מרי תשנה מבט חדש (3),3,אודי הרשקוביץ,107
מדיומ,באמצע באמצע הויכוח ביקש לעצור (5),5,אודי הרשקוביץ,107
פירומנ,יש מספיק בשר שהיה פעם מדליק (6),6,אודי הרשקוביץ,107
משחקלידיו,"שפך שמן על האורגן שלו, וזה בדיוק מה שהוא רצה ממנו (4, 5)",9,אודי הרשקוביץ,107
כרישלוויתנ,"דג שראשו לא מונח על המזרון והוא גם לא יתקמצן (4, 6) (מ)",10,אודי הרשקוביץ,107
רשמ,החברות לפניו (3),3,אודי הרשקוביץ,107
מיכאלבנארי,"חבר הכנסת יאכל ארנבים (5, 2, 3)",10,אודי הרשקוביץ,107
אלביספרסלי,"בא לי להכניס לבית ספר הנשיא המלך (5, 5)",10,אודי הרשקוביץ,107
מיזוגאוויר,"תביא שוב בירה ופיצוחים בשביל שיהיה נעים (5, 5) (מ)",10,אודי הרשקוביץ,107
יוריתמיקס,שרו פעם על ספורט שמאפשר נצחון חוזר (9),9,אודי הרשקוביץ,107
וומבלי,מאפשר לתלות גם ללא מגרש (6),6,אודי הרשקוביץ,107
הנטקה,במבט לאחור המנהיג הציוני הופחת מערכו (5),5,אודי הרשקוביץ,107
שמנ,בעצם טוב שם או לא טוב בכלל? (3),3,אודי הרשקוביץ,107
ווב,אות אחת בתוך הרשת (3),3,אודי הרשקוביץ,107
